Sequence_ID,Status
MF801386.1,Somente em Zika479ONE
MF801387.1,Somente em Zika479ONE
MF801389.1,Somente em Zika479ONE
MF801391.1,Somente em Zika479ONE
MF801395.1,Somente em Zika479ONE
MF801396.1,Somente em Zika479ONE
MF801397.1,Somente em Zika479ONE
MF801398.1,Somente em Zika479ONE
MF801400.1,Somente em Zika479ONE
MF801401.1,Somente em Zika479ONE
MF801402.1,Somente em Zika479ONE
MF801403.1,Somente em Zika479ONE
MF801406.1,Somente em Zika479ONE
MF801408.1,Somente em Zika479ONE
MF801410.1,Somente em Zika479ONE
MF801412.1,Somente em Zika479ONE
MF801413.1,Somente em Zika479ONE
MF801414.1,Somente em Zika479ONE
MF801417.1,Somente em Zika479ONE
MF801418.1,Somente em Zika479ONE
MF801423.1,Somente em Zika479ONE
MF801426.1,Somente em Zika479ONE
MF926508.1,Somente em Zika479ONE
MF988734.1,Somente em Zika479ONE
MF988743.1,Somente em Zika479ONE
MF996804.1,Somente em Zika479ONE
MG182017.2,Somente em Zika270ONE
MG366907.1,Somente em Zika479ONE
MG494697.1,Somente em Zika479ONE
MG548660.1,Somente em Zika479ONE
MG548661.1,Somente em Zika479ONE
MG595216.1,Ambos
MG645981.1,Somente em Zika479ONE
MG674718.1,Somente em Zika479ONE
MG674719.1,Ambos
MG758786.1,Somente em Zika270ONE
MG770188.1,Somente em Zika270ONE
MG807646.1,Somente em Zika479ONE
MG807647.1,Somente em Zika479ONE
MG827392.1,Somente em Zika479ONE
MG982566.1,Somente em Zika479ONE
MH013290.1,Somente em Zika479ONE
MH055376.1,Somente em Zika479ONE
MH061876.1,Somente em Zika270ONE
MH061877.1,Somente em Zika270ONE
MH061887.1,Somente em Zika270ONE
MH061891.1,Somente em Zika270ONE
MH061899.1,Somente em Zika270ONE
MH061906.1,Somente em Zika270ONE
MH061907.1,Somente em Zika270ONE
MH061910.1,Somente em Zika270ONE
MH061913.1,Somente em Zika270ONE
MH061914.1,Somente em Zika270ONE
MH063260.1,Somente em Zika270ONE
MH063261.1,Somente em Zika479ONE
MH063262.1,Somente em Zika479ONE
MH063264.1,Ambos
MH063265.1,Ambos
MH119185.1,Ambos
MH130094.1,Somente em Zika270ONE
MH130096.1,Somente em Zika270ONE
MH130100.1,Somente em Zika270ONE
MH130102.1,Somente em Zika270ONE
MH130104.1,Somente em Zika270ONE
MH130107.1,Somente em Zika270ONE
MH130108.1,Somente em Zika270ONE
MH130109.1,Somente em Zika270ONE
MH157202.1,Somente em Zika479ONE
MH157208.1,Somente em Zika479ONE
MH157213.1,Somente em Zika479ONE
MH158236.1,Somente em Zika479ONE
MH158237.1,Somente em Zika479ONE
MH179341.1,Somente em Zika479ONE
MH255601.1,Ambos
MH368551.1,Somente em Zika479ONE
MH430252.1,Somente em Zika479ONE
MH430253.1,Somente em Zika479ONE
MH513598.1,Somente em Zika479ONE
MH513599.1,Somente em Zika479ONE
MH513600.1,Somente em Zika479ONE
MH544701.2,Somente em Zika479ONE
MH882527.1,Somente em Zika479ONE
MH882529.1,Somente em Zika479ONE
MH882530.1,Somente em Zika479ONE
